;name;categories;address;cc;city;country;crossStreet;distance;formattedAddress;labeledLatLngs;lat;lng;neighborhood;postalCode;state;id
98;PizzaExpress;Pizza Place;15 Widmore Rd;GB;Bromley;United Kingdom;;1989;['15 Widmore Rd', 'Bromley', 'Greater London', 'BR1 1RL', 'United Kingdom'];[{'label': 'display', 'lat': 51.40606456547983, 'lng': 0.01645141093046963}];5.140.606.456.547.980;0.01645141093046963;;BR1 1RL;Greater London;4b926f39f964a52040f933e3
103;Tamasha;Indian Restaurant;131 Widmore Rd.;GB;Bromley;United Kingdom;at Homefield Rd.;2070;['131 Widmore Rd. (at Homefield Rd.)', 'Bromley', 'Greater London', 'BR1 3AX', 'United Kingdom'];[{'label': 'display', 'lat': 51.40694908851223, 'lng': 0.027044476224484457}];5.140.694.908.851.220;0.027044476224484457;;BR1 3AX;Greater London;4b81547bf964a520c19f30e3
112;Yo! Sushi;Sushi Restaurant;The Glades;GB;;United Kingdom;;1725;['The Glades', 'United Kingdom'];[{'label': 'display', 'lat': 51.403716698450545, 'lng': 0.01701185604152809}];51.403.716.698.450.500;0.01701185604152809;;;;55a10a9f498e042dffa70f91
117;Cow and Pig;English Restaurant;39 East St;GB;Bromley;United Kingdom;;2135;['39 East St', 'Bromley', 'Greater London', 'BR1 1QQ', 'United Kingdom'];[{'label': 'display', 'lat': 51.40740142611505, 'lng': 0.01643757560106593}];5.140.740.142.611.500;0.01643757560106593;;BR1 1QQ;Greater London;56326dc1498e1b96f1ffceab
119;The Crooked Billet (Harvester);English Restaurant;286 Southborough Ln;GB;Bromley;United Kingdom;;2203;['286 Southborough Ln', 'Bromley', 'Greater London', 'BR2 8AA', 'United Kingdom'];[{'label': 'display', 'lat': 51.39040843017192, 'lng': 0.053958433855087404}];5.139.040.843.017.190;0.053958433855087404;;BR2 8AA;Greater London;4be5a76a2468c92874510043
120;Shampan Bromley;Indian Restaurant;38 Chatterton Rd;GB;Bromley;United Kingdom;at Walpole Rd;1001;['38 Chatterton Rd (at Walpole Rd)', 'Bromley', 'Greater London', 'BR2 9QN', 'United Kingdom'];[{'label': 'display', 'lat': 51.392337556057505, 'lng': 0.03546819272318197}];51.392.337.556.057.500;0.03546819272318197;;BR2 9QN;Greater London;4bdb42a4c79cc92828e181e9
121;Topshop;Women's Store;145 High St;GB;Bromley;United Kingdom;;1848;['145 High St', 'Bromley', 'Greater London', 'BR1 1JD', 'United Kingdom'];[{'label': 'display', 'lat': 51.404587005960614, 'lng': 0.015277862548828127}];51.404.587.005.960.600;0.015277862548828127;];BR1 1JD;Greater London;4dc7a7abd164eb9ca023d3cb
125;Pizza Hut;Pizza Place;22 Homesdale Rd;GB;Bromley;United Kingdom;;973;['22 Homesdale Rd', 'Bromley', 'Greater London', 'BR2 9LD', 'United Kingdom'];[{'label': 'display', 'lat': 51.39550479196568, 'lng': 0.0309350069210897}];5.139.550.479.196.560;0.0309350069210897;;BR2 9LD;Greater London;4baf9bb6f964a5207d0f3ce3
126;Texas Jacks;Mexican Restaurant;238 High St;GB;Bromley;United Kingdom;;2117;['238 High St', 'Bromley', 'Greater London', 'BR1 1PQ', 'United Kingdom'];[{'label': 'display', 'lat': 51.40660246602366, 'lng': 0.012613353223573915}];5.140.660.246.602.360;0.012613353223573915;;BR1 1PQ;Greater London;515c7ea7e4b0129954a7f0c3
129;Toby Carvery;English Restaurant;155 Bromley Common;GB;Bromley;United Kingdom;;922;['155 Bromley Common', 'Bromley', 'Greater London', 'BR2 9RJ', 'United Kingdom'];[{'label': 'display', 'lat': 51.389206783929396, 'lng': 0.035618312075020885}];51.389.206.783.929.300;0.035618312075020885;;BR2 9RJ;Greater London;4d29f2f4c406721e30887fb6
